,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
0,2020-01-30,6:00 PM,Kerala,1,0,0,0,1
1,2020-01-31,6:00 PM,Kerala,1,0,0,0,1
2,2020-02-01,6:00 PM,Kerala,2,0,0,0,2
3,2020-02-02,6:00 PM,Kerala,3,0,0,0,3
4,2020-02-03,6:00 PM,Kerala,3,0,0,0,3
5,2020-02-04,6:00 PM,Kerala,3,0,0,0,3
6,2020-02-05,6:00 PM,Kerala,3,0,0,0,3
7,2020-02-06,6:00 PM,Kerala,3,0,0,0,3
8,2020-02-07,6:00 PM,Kerala,3,0,0,0,3
9,2020-02-08,6:00 PM,Kerala,3,0,0,0,3
10,2020-02-09,6:00 PM,Kerala,3,0,0,0,3
11,2020-02-10,6:00 PM,Kerala,3,0,0,0,3
12,2020-02-11,6:00 PM,Kerala,3,0,0,0,3
13,2020-02-12,6:00 PM,Kerala,3,0,0,0,3
14,2020-02-13,6:00 PM,Kerala,3,0,0,0,3
15,2020-02-14,6:00 PM,Kerala,3,0,0,0,3
16,2020-02-15,6:00 PM,Kerala,3,0,0,0,3
17,2020-02-16,6:00 PM,Kerala,3,0,0,0,3
18,2020-02-17,6:00 PM,Kerala,3,0,0,0,3
19,2020-02-18,6:00 PM,Kerala,3,0,0,0,3
20,2020-02-19,6:00 PM,Kerala,3,0,0,0,3
21,2020-02-20,6:00 PM,Kerala,3,0,0,0,3
22,2020-02-21,6:00 PM,Kerala,3,0,0,0,3
23,2020-02-22,6:00 PM,Kerala,3,0,0,0,3
24,2020-02-23,6:00 PM,Kerala,3,0,0,0,3
25,2020-02-24,6:00 PM,Kerala,3,0,0,0,3
26,2020-02-25,6:00 PM,Kerala,3,0,0,0,3
27,2020-02-26,6:00 PM,Kerala,3,0,0,0,3
28,2020-02-27,6:00 PM,Kerala,3,0,0,0,3
29,2020-02-28,6:00 PM,Kerala,3,0,0,0,3
30,2020-02-29,6:00 PM,Kerala,3,0,0,0,3
31,2020-03-01,6:00 PM,Kerala,3,0,0,0,3
32,2020-03-02,6:00 PM,Telengana,1,0,0,0,1
33,2020-03-02,6:00 PM,Kerala,3,0,0,0,3
34,2020-03-02,6:00 PM,Delhi,1,0,0,0,1
35,2020-03-03,6:00 PM,Telengana,1,0,0,0,1
36,2020-03-03,6:00 PM,Rajasthan,0,1,0,0,1
37,2020-03-03,6:00 PM,Kerala,3,0,3,0,3
38,2020-03-03,6:00 PM,Delhi,1,0,0,0,1
39,2020-03-04,6:00 PM,Uttar Pradesh,6,0,0,0,6
40,2020-03-04,6:00 PM,Kerala,3,0,3,0,3
41,2020-03-04,6:00 PM,Haryana,0,2,0,0,2
42,2020-03-04,6:00 PM,Delhi,1,0,0,0,1
43,2020-03-04,6:00 PM,Telengana,1,0,0,0,1
44,2020-03-04,6:00 PM,Rajasthan,1,14,0,0,15
45,2020-03-05,6:00 PM,Delhi,2,0,0,0,2
46,2020-03-05,6:00 PM,Haryana,0,2,0,0,2
47,2020-03-05,6:00 PM,Kerala,3,0,3,0,3
48,2020-03-05,6:00 PM,Rajasthan,1,14,0,0,15
49,2020-03-05,6:00 PM,Telengana,1,0,0,0,1
50,2020-03-05,6:00 PM,Uttar Pradesh,7,0,0,0,7
51,2020-03-06,6:00 PM,Delhi,3,0,0,0,3
52,2020-03-06,6:00 PM,Haryana,0,2,0,0,2
53,2020-03-06,6:00 PM,Kerala,3,0,3,0,3
54,2020-03-06,6:00 PM,Rajasthan,1,14,0,0,15
55,2020-03-06,6:00 PM,Uttar Pradesh,7,0,0,0,7
56,2020-03-06,6:00 PM,Telengana,1,0,0,0,1
57,2020-03-07,6:00 PM,Kerala,3,0,3,0,3
58,2020-03-07,6:00 PM,Uttar Pradesh,7,0,0,0,7
59,2020-03-07,6:00 PM,Ladakh,2,0,0,0,2
60,2020-03-07,6:00 PM,Telengana,1,0,0,0,1
61,2020-03-07,6:00 PM,Tamil Nadu,1,0,0,0,1
62,2020-03-07,6:00 PM,Delhi,3,0,0,0,3
63,2020-03-07,6:00 PM,Haryana,0,2,0,0,2
64,2020-03-07,6:00 PM,Rajasthan,1,14,0,0,15
65,2020-03-08,6:00 PM,Ladakh,2,0,0,0,2
66,2020-03-08,6:00 PM,Telengana,1,0,0,0,1
67,2020-03-08,6:00 PM,Tamil Nadu,1,0,0,0,1
68,2020-03-08,6:00 PM,Rajasthan,1,14,0,0,15
69,2020-03-08,6:00 PM,Kerala,8,0,3,0,8
70,2020-03-08,6:00 PM,Haryana,0,2,0,0,2
71,2020-03-08,6:00 PM,Delhi,3,0,0,0,3
72,2020-03-08,6:00 PM,Uttar Pradesh,7,0,0,0,7
73,2020-03-09,6:00 PM,Ladakh,2,0,0,0,2
74,2020-03-09,6:00 PM,Karnataka,1,0,0,0,1
75,2020-03-09,6:00 PM,Kerala,9,0,3,0,9
76,2020-03-09,6:00 PM,Maharashtra,2,0,0,0,2
77,2020-03-09,6:00 PM,Punjab,1,0,0,0,1
78,2020-03-09,6:00 PM,Rajasthan,1,14,0,0,15
79,2020-03-09,6:00 PM,Tamil Nadu,1,0,0,0,1
80,2020-03-09,6:00 PM,Telengana,1,0,0,0,1
81,2020-03-09,6:00 PM,Jammu and Kashmir,1,0,0,0,1
82,2020-03-09,6:00 PM,Uttar Pradesh,7,0,0,0,7
83,2020-03-09,6:00 PM,Haryana,0,2,0,0,2
84,2020-03-09,6:00 PM,Delhi,4,0,0,0,4
85,2020-03-10,6:00 PM,Uttar Pradesh,7,0,0,0,7
86,2020-03-10,6:00 PM,Ladakh,2,0,0,0,2
87,2020-03-10,6:00 PM,Delhi,4,0,0,0,4
88,2020-03-10,6:00 PM,Haryana,0,2,0,0,2
89,2020-03-10,6:00 PM,Karnataka,4,0,0,0,4
90,2020-03-10,6:00 PM,Kerala,15,0,3,0,15
91,2020-03-10,6:00 PM,Maharashtra,5,0,0,0,5
92,2020-03-10,6:00 PM,Punjab,1,0,0,0,1
93,2020-03-10,6:00 PM,Rajasthan,1,14,0,0,15
94,2020-03-10,6:00 PM,Tamil Nadu,1,0,0,0,1
95,2020-03-10,6:00 PM,Telengana,1,0,0,0,1
96,2020-03-10,6:00 PM,Jammu and Kashmir,1,0,0,0,1
97,2020-03-11,6:00 PM,Maharashtra,2,0,0,0,2
98,2020-03-11,6:00 PM,Delhi,5,0,0,0,5
99,2020-03-11,6:00 PM,Haryana,0,14,0,0,14
100,2020-03-11,6:00 PM,Kerala,17,0,3,0,17
101,2020-03-11,6:00 PM,Rajasthan,1,2,0,0,3
102,2020-03-11,6:00 PM,Telengana,1,0,0,0,1
103,2020-03-11,6:00 PM,Uttar Pradesh,9,0,0,0,9
104,2020-03-11,6:00 PM,Ladakh,2,0,0,0,2
105,2020-03-11,6:00 PM,Tamil Nadu,1,0,0,0,1
106,2020-03-11,6:00 PM,Jammu and Kashmir,1,0,0,0,1
107,2020-03-11,6:00 PM,Punjab,1,0,0,0,1
108,2020-03-11,6:00 PM,Karnataka,4,0,0,0,4
109,2020-03-12,6:00 PM,Delhi,6,0,0,0,6
110,2020-03-12,6:00 PM,Haryana,0,14,0,0,14
111,2020-03-12,6:00 PM,Kerala,17,0,3,0,17
112,2020-03-12,6:00 PM,Rajasthan,1,2,0,0,3
113,2020-03-12,6:00 PM,Telengana,1,0,0,0,1
114,2020-03-12,6:00 PM,Uttar Pradesh,10,1,0,0,11
115,2020-03-12,6:00 PM,Ladakh,3,0,0,0,3
116,2020-03-12,6:00 PM,Tamil Nadu,1,0,0,0,1
117,2020-03-12,6:00 PM,Jammu and Kashmir,1,0,0,0,1
118,2020-03-12,6:00 PM,Punjab,1,0,0,0,1
119,2020-03-12,6:00 PM,Karnataka,4,0,0,0,4
120,2020-03-12,6:00 PM,Maharashtra,11,0,0,0,11
121,2020-03-12,6:00 PM,Andhra Pradesh,1,0,0,0,1
122,2020-03-13,6:00 PM,Delhi,6,0,0,0,6
123,2020-03-13,6:00 PM,Haryana,0,14,0,0,14
124,2020-03-13,6:00 PM,Kerala,19,0,3,0,19
125,2020-03-13,6:00 PM,Rajasthan,1,2,0,0,3
126,2020-03-13,6:00 PM,Telengana,1,0,0,0,1
127,2020-03-13,6:00 PM,Uttar Pradesh,10,1,0,0,11
128,2020-03-13,6:00 PM,Ladakh,3,0,0,0,3
129,2020-03-13,6:00 PM,Tamil Nadu,1,0,0,0,1
130,2020-03-13,6:00 PM,Jammu and Kashmir,1,0,0,0,1
131,2020-03-13,6:00 PM,Punjab,1,0,0,0,1
132,2020-03-13,6:00 PM,Karnataka,6,0,0,1,6
133,2020-03-13,6:00 PM,Maharashtra,14,0,0,0,14
134,2020-03-13,6:00 PM,Andhra Pradesh,1,0,0,0,1
135,2020-03-14,6:00 PM,Delhi,7,0,1,1,7
136,2020-03-14,6:00 PM,Haryana,0,14,0,0,14
137,2020-03-14,6:00 PM,Kerala,19,0,3,0,19
138,2020-03-14,6:00 PM,Rajasthan,1,2,1,0,3
139,2020-03-14,6:00 PM,Telengana,1,0,0,0,1
140,2020-03-14,6:00 PM,Uttar Pradesh,11,1,5,0,12
141,2020-03-14,6:00 PM,Ladakh,3,0,0,0,3
142,2020-03-14,6:00 PM,Tamil Nadu,1,0,0,0,1
143,2020-03-14,6:00 PM,Jammu and Kashmir,2,0,0,0,2
144,2020-03-14,6:00 PM,Punjab,1,0,0,0,1
145,2020-03-14,6:00 PM,Karnataka,6,0,0,1,6
146,2020-03-14,6:00 PM,Maharashtra,14,0,0,0,14
147,2020-03-14,6:00 PM,Andhra Pradesh,1,0,0,0,1
148,2020-03-15,6:00 PM,Andhra Pradesh,1,0,0,0,1
149,2020-03-15,6:00 PM,Delhi,7,0,2,1,7
150,2020-03-15,6:00 PM,Haryana,0,14,0,0,14
151,2020-03-15,6:00 PM,Karnataka,6,0,0,1,6
152,2020-03-15,6:00 PM,Kerala,22,0,3,0,22
153,2020-03-15,6:00 PM,Maharashtra,32,0,0,0,32
154,2020-03-15,6:00 PM,Punjab,1,0,0,0,1
155,2020-03-15,6:00 PM,Rajasthan,2,2,3,0,4
156,2020-03-15,6:00 PM,Tamil Nadu,1,0,0,0,1
157,2020-03-15,6:00 PM,Telengana,3,0,1,0,3
158,2020-03-15,6:00 PM,Jammu and Kashmir,2,0,0,0,2
159,2020-03-15,6:00 PM,Ladakh,3,0,0,0,3
160,2020-03-15,6:00 PM,Uttar Pradesh,12,1,4,0,13
161,2020-03-15,6:00 PM,Uttarakhand,1,0,0,0,1
162,2020-03-16,6:00 PM,Andhra Pradesh,1,0,0,0,1
163,2020-03-16,6:00 PM,Delhi,7,0,2,1,7
164,2020-03-16,6:00 PM,Haryana,0,14,0,0,14
165,2020-03-16,6:00 PM,Karnataka,6,0,0,1,6
166,2020-03-16,6:00 PM,Kerala,23,0,3,0,23
167,2020-03-16,6:00 PM,Maharashtra,32,0,0,0,32
168,2020-03-16,6:00 PM,Odisha,1,0,0,0,1
169,2020-03-16,6:00 PM,Punjab,1,0,0,0,1
170,2020-03-16,6:00 PM,Rajasthan,2,2,3,0,4
171,2020-03-16,6:00 PM,Tamil Nadu,1,0,0,0,1
172,2020-03-16,6:00 PM,Telengana,3,0,1,0,3
173,2020-03-16,6:00 PM,Jammu and Kashmir,3,0,0,0,3
174,2020-03-16,6:00 PM,Ladakh,4,0,0,0,4
175,2020-03-16,6:00 PM,Uttar Pradesh,12,1,4,0,13
176,2020-03-16,6:00 PM,Uttarakhand,1,0,0,0,1
177,2020-03-17,6:00 PM,Andhra Pradesh,1,0,0,0,1
178,2020-03-17,6:00 PM,Delhi,8,0,2,1,8
179,2020-03-17,6:00 PM,Haryana,1,14,0,0,15
180,2020-03-17,6:00 PM,Karnataka,11,0,0,1,11
181,2020-03-17,6:00 PM,Kerala,24,2,3,0,26
182,2020-03-17,6:00 PM,Maharashtra,36,3,0,1,39
183,2020-03-17,6:00 PM,Odisha,1,0,0,0,1
184,2020-03-17,6:00 PM,Punjab,1,0,0,0,1
185,2020-03-17,6:00 PM,Rajasthan,2,2,3,0,4
186,2020-03-17,6:00 PM,Tamil Nadu,1,0,0,0,1
187,2020-03-17,6:00 PM,Telengana,3,2,1,0,5
188,2020-03-17,6:00 PM,Jammu and Kashmir,3,0,0,0,3
189,2020-03-17,6:00 PM,Ladakh,6,0,0,0,6
190,2020-03-17,6:00 PM,Uttar Pradesh,14,1,5,0,15
191,2020-03-17,6:00 PM,Uttarakhand,1,0,0,0,1
